Acount_number,Open_Date,Balance,Account_Type,Client ID,Bank Id
96,2211989,3252,Savings,51865669,9692
97,1041954,98243,Business,454574116,2784
98,222007,51853,Business,994293863,9806
99,11271960,17593,Checking,275869007,4620
100,9111972,96776,Business,51865669,3202
101,1091966,30464,Business,310057167,6753
102,5311975,88671,Business,886545968,5231
103,1311905,31854,Business,992781160,2905
104,551916,897,Checking,970715686,2440
105,7131913,92905,Savings,771097726,6610
106,6241928,22212,Savings,957308461,7844
107,6211985,71650,Checking,906226351,9957
108,591931,68295,Savings,994293863,3237
109,752014,57174,Business,43091725,6576
110,8101990,70853,Savings,878628273,9672
111,692018,80939,Business,994293863,2361
112,7112010,22951,Savings,430879348,6622
113,8181931,11785,Checking,374070158,5869
114,822012,30508,Checking,878628273,527
115,9181983,5557,Checking,431052441,957
116,5251914,5215,Checking,423243021,2348
117,4121953,93146,Savings,77604807,6221
118,1958-06-31,95832,Savings,773880066,3237
119,991916,51798,Savings,908213685,978
120,3181929,88097,Checking,974282882,6694
121,921973,60831,Checking,753466769,1303
122,10151987,27785,Savings,444276383,5869
123,6162017,19049,Business,104520964,669
124,1111955,50670,Business,399500241,9251
125,731987,69917,Business,886175734,6417
126,5131963,92332,Savings,226072439,6284
127,11181921,72301,Savings,213195563,8300
128,2251920,84336,Checking,300964459,4303
129,3122013,93594,Business,261184594,4443
130,7231910,51941,Checking,957308461,9132
131,3201978,74313,Business,257179780,9961
132,1914-02-30,90698,Business,947230028,2009
133,731917,67997,Checking,39176841,8769
134,6301932,64385,Business,282284452,5376
135,9111913,39063,Business,514151250,4635
136,4171986,29591,Checking,177465193,5693
137,6211928,27106,Business,143031595,2768
138,5301901,70162,Business,22866438,3361
139,8111969,55155,Checking,482168068,8028
140,12161995,7133,Business,514151250,6275
141,9251991,83015,Business,701202160,9022
142,761962,59026,Business,138266928,1990
143,11171980,41005,Business,622587017,9892
144,9121993,75446,Checking,613862805,3722
145,6181933,1544,Business,777345722,8600
146,261950,81958,Savings,261184594,2348
147,6251961,88002,Business,671159683,1466
148,4251942,28675,Savings,871966784,8386
149,2231967,53615,Business,845490264,7812
150,931948,26487,Checking,658287338,7697
151,231931,86785,Savings,658295129,9806
152,1011940,22423,Business,52556980,5720
153,9131959,78796,Checking,597133336,5742
154,182006,70558,Checking,12666493,2082
155,6281991,65402,Savings,574700638,8669
156,1141900,59261,Business,75808550,758
157,11121917,94339,Savings,612444595,9827
158,8261963,62452,Checking,773880066,3459
159,241943,96268,Business,671159683,3084
160,3231931,40092,Business,375566653,1736
161,131924,26837,Checking,992781160,1800
162,5101999,92548,Business,378271606,2905
163,4141971,33678,Savings,597133336,3459
164,3261932,66532,Savings,12032151,1965
165,11201927,60971,Checking,106871333,4303
166,7181978,18551,Savings,275869007,3411
167,7211929,30483,Business,858729129,9761
168,2141968,82279,Checking,668729236,1990
169,8242013,74655,Business,565761340,9957
170,1231966,31774,Checking,378271606,7364
171,8271935,15750,Business,710775325,2028
172,1042005,47787,Savings,257179780,3155
173,12201965,24789,Business,597133336,9761
174,811914,22298,Savings,456849660,6917
175,10151905,53615,Business,657624453,3203
176,9131942,58422,Checking,386912046,5811
177,3111944,13013,Savings,625176387,8537
178,11131998,79509,Business,48311726,277
179,12111917,83914,Savings,886545968,9961
180,10151967,23778,Savings,701202160,9892
181,5161939,61264,Business,205977487,7803
182,7111976,81995,Checking,106871333,5249
183,10272017,82766,Savings,613862805,5720
184,8121915,76072,Business,205977487,6844
185,12112007,15077,Checking,457571259,4566
186,2161930,10551,Business,861635578,9761
187,12261903,97223,Business,196775761,8245
188,1983-02-29,48090,Checking,265016234,800
189,832022,83508,Business,355885766,978
190,5161911,99894,Savings,971168710,8669
191,3121916,56746,Savings,310057167,2905
192,9161960,79970,Savings,870752201,7584
193,1251952,87158,Business,205379168,1736
194,10281946,40897,Business,824428004,758
195,5181962,55962,Business,304413166,3255
196,1072019,32466,Business,701202160,877
197,12141911,5601,Business,455408978,8060
198,10132020,88620,Business,51865669,7699
199,10311988,81062,Checking,836910457,5280
