Deposit_ID,Deposit_Date,Amount,Worker_ID,Interest_Rate_ID,Account_Number,Bank_ID
061,1925-05-28,73014,7187,004,162,2905
062,1999-05-23,36614,6334,072,139,8028
063,2005-05-17,35771,7496,102,077,4395
064,2013-09-25,25238,0251,140,008,1736
065,1975-11-05,56029,5307,030,012,6417
066,1924-10-28,91695,8330,057,008,1736
067,1969-09-22,46311,0713,060,074,2784
068,1995-02-17,89269,4887,169,001,6610
069,2012-12-08,16073,4374,064,034,3496
070,2006-05-20,11078,9749,055,183,5720
071,1949-07-28,24233,6264,078,111,2361
072,1914-08-12,60061,5991,105,131,9961
073,1983-03-09,42441,8379,129,169,9957
074,2014-12-26,58550,7550,090,134,5376
075,1919-01-02,26189,9749,125,091,9938
076,1933-06-30,8002,3272,122,059,0758
077,1931-10-02,85314,7697,050,176,5811
078,1904-05-14,8527,6347,180,105,6610
079,1964-04-10,82135,2177,199,159,3084
080,1946-03-29,53118,6264,043,138,3361
081,1937-09-19,64687,4407,140,109,6576
082,1933-05-28,83255,2977,147,093,0277
083,2020-07-30,40581,3536,042,134,5376
084,1994-12-10,30068,6347,069,085,9592
085,1993-09-14,92549,3272,190,132,2009
086,1975-12-14,31919,9770,134,152,5720
087,2015-10-10,34194,1312,088,009,9859
088,1912-02-26,67533,3441,157,128,4303
089,1937-04-03,60397,9581,141,154,2082
090,1966-06-14,40217,5058,058,143,9892
091,1975-11-14,94028,5603,106,031,0925
092,1916-03-08,98700,2307,078,095,6284
093,1953-04-02,3652,2307,121,098,9806
094,1904-07-01,53529,5448,125,186,9761
095,1913-11-12,26737,4076,095,027,1800
096,1985-10-16,3239,1312,006,016,2568
097,1953-09-17,92108,3244,168,138,3361
098,2010-10-02,94615,5030,077,077,4395
099,1903-07-25,83266,6291,133,173,9761
100,1998-08-09,17989,3044,124,160,1736
101,1906-06-01,11289,6325,165,175,3203
102,2005-03-10,57606,8730,004,023,3722
103,2023-01-09,89775,7252,092,007,3396
104,1956-12-09,43484,1234,135,099,4620
105,2021-08-05,93444,9091,065,160,1736
106,1965-05-06,64119,5707,104,141,9022
107,1940-03-08,82020,8566,198,191,2905
108,1923-06-29,16564,0521,032,160,1736
109,1970-07-24,28851,2482,033,020,9957
110,2015-10-05,74378,6367,117,159,3084
111,2001-01-17,82882,4407,127,197,8060
112,1912-08-15,15458,9771,074,098,9806
113,1941-12-26,38244,9404,140,083,4620
114,1989-01-10,56548,8272,160,194,0758
115,2014-09-02,89463,3578,097,138,3361
116,1946-12-17,13077,6347,021,080,6284
117,1996-03-12,15353,9976,153,087,9104
118,1922-09-09,30825,1490,029,165,4303
119,1926-02-11,90882,8902,077,106,7844
120,1970-11-27,96679,6964,063,008,1736
121,1969-01-26,54924,9091,076,174,6917
122,1953-11-15,21345,6347,050,154,2082
123,1932-12-16,20885,9749,073,020,9957
124,1975-02-04,27642,5735,008,041,0212
125,1945-02-12,66061,4870,086,088,8669
126,1919-04-26,68594,3267,097,030,3632
127,1973-09-07,60363,0776,053,116,2348
128,2007-08-17,23771,3630,096,003,2372
129,1926-10-05,33305,6367,181,143,9892
130,1960-03-19,77774,6248,058,088,8669
131,1941-06-15,44058,1378,010,121,1303
132,1993-12-03,8373,8598,111,093,0277
133,1988-03-04,28610,0251,132,125,6417
134,1998-08-09,4436,6264,143,032,8060
135,1953-04-22,93030,4953,184,010,2348
136,1953-10-22,85294,9350,144,062,4733
137,1912-02-20,96215,3419,097,067,0957
138,1959-07-30,7714,6767,122,110,9672
139,1983-09-15,89833,1145,121,056,9022
140,1910-12-04,67155,8015,009,092,8769
141,1923-08-19,29385,2561,094,048,2376
142,1972-06-01,33594,1990,108,134,5376
143,1923-04-20,36924,5058,049,117,6221
144,2012-03-02,5239,9770,049,022,1875
145,1969-12-23,33092,5875,157,160,1736
146,2008-08-16,25962,3289,198,134,5376
147,1978-07-12,90473,1145,055,081,1039
148,1973-07-05,43783,3806,112,182,5249
149,2001-03-30,19927,1753,186,191,2905
150,1997-11-22,1481,0776,026,159,3084
151,1996-03-20,41502,8379,071,114,0527
152,1959-08-31,48858,5709,045,035,5555
153,1961-05-19,17883,3066,022,196,0877
154,2019-10-09,65911,9771,192,153,5742
155,1914-12-05,24248,0142,130,111,2361
156,2014-10-09,42632,3272,085,086,5694
157,1951-09-02,78131,1070,172,138,3361
158,1951-10-12,94086,4870,106,054,7697
159,2002-05-03,67618,5735,057,066,1551
160,1921-07-30,7440,5864,108,058,5376
161,1946-07-23,58483,1010,082,020,9957
162,1986-05-05,43512,2561,056,185,4566
163,1907-08-14,69801,8630,115,080,6284
164,1985-08-20,10963,0521,178,049,3155
165,1999-07-01,23997,5991,008,156,0758
166,1920-03-27,22462,2169,165,007,3396
167,1932-02-18,68398,5864,084,036,0751
168,1992-06-30,43703,5504,176,032,8060
169,1986-08-06,49991,7252,147,056,9022
170,1969-02-31,87400,6370,124,052,2082
171,1929-12-20,98788,5603,001,178,0277
172,1986-06-21,53051,3066,025,137,2768
173,1969-01-19,34713,9640,174,069,0212
174,1973-11-27,1723,5991,094,015,8738
175,2016-10-27,82045,0142,012,187,8245
176,1902-03-31,4420,3441,158,069,0212
177,1998-08-25,29050,5431,013,167,9761
178,2009-09-22,48086,6168,195,050,0669
179,1949-05-31,60342,0218,039,115,0957
180,1920-04-27,99224,0251,037,018,1303
181,1945-12-19,68811,0707,092,104,2440
182,2024-09-01,49892,9091,099,158,3459
183,1921-01-17,2573,5991,146,161,1800
184,2010-11-06,31930,2169,060,038,9692
185,2023-12-31,51532,6347,139,063,3118
186,1943-08-15,24092,4886,126,165,4303
187,1983-03-21,35842,3009,010,023,3722
188,1937-03-25,74001,2833,173,031,0925
189,1903-10-31,34192,5603,075,165,4303
190,1910-10-19,57044,8630,101,103,2905
191,1981-10-29,19493,0472,012,177,8537
192,1929-06-09,31175,2482,051,130,9132
193,1949-05-20,40827,4870,110,101,6753
194,1987-05-06,67925,1753,157,188,0800
195,1982-07-02,67519,3244,110,070,8199
196,1972-08-08,32441,1159,103,195,3255
197,1984-11-06,59761,0385,139,001,6610
198,1923-08-22,95,9256,142,166,3411
199,2011-03-08,42471,0521,058,139,8028
